addres,vested_total,unlocked,remaining
ZPvx94fTGBo8bR3vpahLxsf4SHuMV5VBNviCyhSZzhLV99u,28617519132900000000000,10426143894804761843584,18191375238095238156416
WDHVVSp5cNPw6Lus13T1MeTCrSaXv4uxa1KzMjQgTQvLwKL,68000000000000000000000,20363166666666666602840,47636833333333333397160
YQE9UVEsSHYA6uW4L4GZTa1HmGPaASb57KNJfxo2Fm22ycf,47360000000000000000000,12907502857142857120772,34452497142857142879228
WeyHwdNuQEy13woYDTj3uU5KLUQ3ywNgFmKPMNBPKkR6pXX,3040000000000000000000000,979900119047619047690195,2060099880952380952309805
atZSLBj1HTv3fsoiCszqyi6s5XLjfjn5LjBuJRSKbaqeL3B,24800000000000000000000,7195782738095237997880,17604217261904762002120
WuLHLZPaWE9jCqVGQGJdLL4nEWsK9uCKGYh4EUjhwF1WAyt,30757953865500000000000,12317547198833333274472,18440406666666666725528
aKqeiUCgoVmzKHbBrSWrpXetMJs1AbfJjFANtcceBMpiej2,83776000000000000000000,28643288666666666558294,55132711333333333441706
ZJm5LKVcC5ZXJU2sSACYMuj9vZwYFSBUcB7Rp6pEAiUjBP6,5340228220828800000000000,1470670695935942857256640,3869557524892857142743360
bHV7Rd9htiUbxG2jH9skezP5ncQK4wn3QxmKMbCfd5zcrh9,878660795266200000000000,229307907994220833276376,649352887271979166723624
YXHTUZjVnVEDov56JHzuDUicuN8soZJ1ezUc8Fc31dVPEvS,27314640000000000000000,7912994302499999963578,19401645697500000036422
bY4KWjAaZj99F7gubsRWGoME1YJ62FCWevi9tYQYuciaHFL,13413611088900000000000,3796360196042857044119,9617250892857142955881
WDH3Yq8pp2hUk448Lz1GvLsvL7p5FjWENFsacaHLFZDmWH2,2991834464400000000000,1328243918566666774773,1663590545833333225227
aqt97NhgQACJsSwApn3yirJuL5fqRHDXm5WbuFTZgsrLmDg,11607418778400000000000,4663179440304761816432,6944239338095238183568
YZwVcwKYXp86tzASGpFuhsXyAkRwj3W3tPowzFP5xuvNQdt,28180000000000000000000,8058767113095238154750,20121232886904761845250
ZcC8ud6JSzBFzHYnyS8ZzmJiQdrt7iGL1zGUaQ9M8jQzi2t,10875600000000000000000,3515035998214285799996,7360564001785714200004
YAy6jDAKgBEfwL9cYfjJG7a7oSLrRTZ4oBZzaNZnXg2LM3P,36559790000000000000000,9943909251078868959560,26615880748921131040440
aHvRhpzvSGq7shRDotYf2rr5qs9apAtZcV9tTj5CM1ckP88,79498890000000000000000,26549671712008928436666,52949218287991071563334
aGPdXs8Ke2e9zE57EhMyYAVMC15VEbYBSGmmaVQCcdJkzgK,49248000000000000000000,13865657142857142892000,35382342857142857108000
bbb54pAtrHHTLF94Pk1CzygkpSQf6ch3CiGPDmZFHgCjiuV,51187863380400000000000,18000093380400000101493,33187769999999999898507
Xbqnty3dFnrn5TqkSShZjuN9sKAae6gqtpi81Hyknnn5tZT,59611360000000000000000,16174061122738095194236,43437298877261904805764
WBAY2bA514gFCGpHA53RZiKtufiH39yEcT72oATMkFS66yF,20643040000000000000000,6680680617023809552434,13962359382976190447566
a8zjp9iu3BhqKqqHTQvL7i9wbMpM2LiFtwtDYJsnmdHBxy8,25078995387000000000000,5297309672714285692176,19781685714285714307824
aqhw31T6XtdWZJ6Tosn36N7JW7pNsAUSvizJjSsBPL6azLh,27781202997000000000000,10810413508703869032243,16970789488296130967757
bULqkuRqcKknMoh9LXASHtBGiGsJ3G51m7sD8bUCJWASxSv,19104000000000000000000,6457123571428571337180,12646876428571428662820
ZBv3ErPYALPjaTPbZ4qTK8o9CYDuk1TE1mj6LgHAn45Rpmm,168805056020400000000000,52593857460042857292690,116211198560357142707310
W6gSSWsph6ge3dQkoBcQMkfN5VXmQrrtp8TBgYsSDqPNnEN,93878618256900000000000,29318298278060714427960,64560319978839285572040
